npi,NPPES Deactivation Date
1790493757,03-06-2023
1053947416,03-05-2023
1114546140,03-05-2023
1609917509,03-05-2023
1780381046,03-04-2023
1720759814,03-04-2023
1447991757,03-04-2023
1669509857,03-04-2023
1174220057,03-04-2023
1295435774,03-03-2023
1497369268,03-03-2023
1073107520,03-03-2023
1174844823,03-03-2023
1124096144,03-03-2023
1376202036,03-03-2023
1033191309,03-03-2023
1699771162,03-03-2023
1669181020,03-03-2023
1396474029,03-03-2023
1972232841,03-03-2023
1023747987,03-03-2023
1447989355,03-03-2023
1447989322,03-03-2023
1356070288,03-03-2023
1528797420,03-03-2023
1891424818,03-03-2023
1295827111,03-03-2023
1558657312,03-02-2023
1205506524,03-02-2023
1982301420,03-02-2023
1700583010,03-02-2023
1093413619,03-02-2023
1124791702,03-02-2023
1710216650,03-02-2023
1710495767,03-02-2023
1336590413,03-02-2023
1437626330,03-02-2023
1154633030,03-02-2023
1811460785,03-02-2023
1831838317,03-02-2023
1225777972,03-02-2023
1477798155,03-02-2023
1366600785,03-02-2023
1861106932,03-02-2023
1750633905,03-02-2023
1003554692,03-02-2023
1265971154,03-02-2023
1902143654,03-02-2023
1831809284,03-02-2023
1174229082,03-02-2023
1245943331,03-01-2023
1710699368,03-01-2023
1083031058,03-01-2023
1811696594,03-01-2023
1386372837,03-01-2023
1821701855,03-01-2023
1043919152,03-01-2023
1053826727,03-01-2023
1043660566,03-01-2023
1457712903,03-01-2023
1316320104,03-01-2023
1871503466,03-01-2023
1255340246,03-01-2023
1942219266,03-01-2023
1407865710,03-01-2023
1033449582,03-01-2023
1801225982,03-01-2023
1790838316,03-01-2023
1679246904,03-01-2023
1013431337,03-01-2023
1033729595,03-01-2023
1366163438,03-01-2023
1487045050,03-01-2023
1396407615,03-01-2023
1144969395,03-01-2023
1205575453,03-01-2023
1194431015,03-01-2023
1457561003,03-01-2023
1801016670,03-01-2023
1629774401,03-01-2023
1992849285,03-01-2023
1679868434,03-01-2023
1669669115,03-01-2023
1235273483,03-01-2023
1568506855,03-01-2023
1568506889,03-01-2023
1457654030,03-01-2023
1881934768,03-01-2023
1497041073,03-01-2023
1134147184,03-01-2023
1215071501,03-01-2023
1912184102,03-01-2023
1033495353,03-01-2023
1467474973,03-01-2023
1275677429,03-01-2023
1417233909,03-01-2023
1831642149,03-01-2023
1467856344,03-01-2023
1457791964,03-01-2023
1922415975,03-01-2023
1790052959,03-01-2023
1538333620,03-01-2023
1891001350,03-01-2023
1265774095,03-01-2023
1831466689,03-01-2023
1215071477,03-01-2023
1831454909,03-01-2023
1982002143,03-01-2023
1568480515,03-01-2023
1982034252,03-01-2023
1487172441,03-01-2023
1740493444,03-01-2023
1558673970,03-01-2023
1437587664,03-01-2023
1972726917,03-01-2023
1356540710,03-01-2023
1144248196,03-01-2023
1477698405,03-01-2023
1518345735,03-01-2023
1982854964,03-01-2023
1396927414,03-01-2023
1467626556,03-01-2023
1316387822,03-01-2023
1891406385,03-01-2023
1275258006,03-01-2023
1336861053,03-01-2023
1992423636,03-01-2023
1033843552,03-01-2023
1912679382,03-01-2023
1215508049,03-01-2023
1548937709,03-01-2023
1588242259,03-01-2023
1609453455,03-01-2023
1033701149,03-01-2023
1972199529,03-01-2023
